review_id,product_id,text,rating,account_age_days,verified_purchase,multiple_ips,label
0,PROD_008,"I've been using this for a week now, and the battery life is impressive. The interface is intuitive as well.",3,1025,1,0,0
1,PROD_014,"It's a decent product for the price. Not the best in class, but definitely reliable enough for basic tasks.",3,1085,1,0,0
2,PROD_010,"The build quality is excellent, and it arrived much faster than expected. Highly recommended for daily use.",4,1884,1,0,0
3,PROD_006,"I've been using this for a week now, and the battery life is impressive. The interface is intuitive as well.",4,1378,1,0,0
4,PROD_011,TOTAL WASTE OF MONEY. DO NOT BUY. FRAUD SELLER. BROKE IN ONE DAY. TERRIBLE.,1,14,0,0,1
5,PROD_012,BEST PRODUCT EVER!!! AMAZING QUALITY. BUY IT NOW YOU WONT REGRET IT!!!! BEST SELLER.,1,13,0,1,1
6,PROD_007,"I've been using this for a week now, and the battery life is impressive. The interface is intuitive as well.",4,997,1,0,0
7,PROD_018,"Exactly as described. The packaging was secure, and the item works perfectly without any setup issues.",4,1137,1,0,0
8,PROD_011,BEST PRODUCT EVER!!! AMAZING QUALITY. BUY IT NOW YOU WONT REGRET IT!!!! BEST SELLER.,1,4,0,0,1
9,PROD_008,I am so happy with this purchase. It is the most beautiful thing I have ever seen in my life.,5,3,1,0,1
10,PROD_014,"A bit expensive compared to alternatives, but the performance justifies the cost. Solid choice.",3,1659,1,0,0
11,PROD_014,"I've been using this for a week now, and the battery life is impressive. The interface is intuitive as well.",3,1940,1,0,0
12,PROD_011,"I've been using this for a week now, and the battery life is impressive. The interface is intuitive as well.",4,669,1,0,0
13,PROD_016,"It's a decent product for the price. Not the best in class, but definitely reliable enough for basic tasks.",2,1163,1,0,0
14,PROD_005,"A bit expensive compared to alternatives, but the performance justifies the cost. Solid choice.",5,1914,1,0,0
15,PROD_018,"A bit expensive compared to alternatives, but the performance justifies the cost. Solid choice.",2,941,1,0,0
16,PROD_012,WOW WOW WOW. UNBELIEVABLE QUALITY. FIVE STARS. BEST BEST BEST.,1,5,0,1,1
17,PROD_004,Super excellence. Many good things. I like it very much. Very very very good quality.,5,8,0,1,1
18,PROD_006,"It's a decent product for the price. Not the best in class, but definitely reliable enough for basic tasks.",4,153,1,0,0
19,PROD_002,"Exactly as described. The packaging was secure, and the item works perfectly without any setup issues.",4,427,1,0,0
20,PROD_016,"A bit expensive compared to alternatives, but the performance justifies the cost. Solid choice.",4,1101,1,0,0
21,PROD_007,WOW WOW WOW. UNBELIEVABLE QUALITY. FIVE STARS. BEST BEST BEST.,5,8,0,1,1
22,PROD_000,I am so happy with this purchase. It is the most beautiful thing I have ever seen in my life.,1,5,1,1,1
