text,rating,account_age_days,verified_purchase,multiple_ips,label
"I will keep it short and say, that when it doesn't fit in the script, they don't care.  Your problem might be new, unusual, or otherwise unique, which means it can't be handled and they don't care to find someone to handle it.  Also, when they do the wrong thing, they stonewall you into giving up.  Their immediate response when asking for a supervisor, is they are the last line of customer assistance and no one else can help, is ridiculous, especially when it is not true.  I mentioned to them, there is always information on Google and other methods, their response was I was a fool for believing Google.  All I needed help with was getting a replacement for a faulty item that I knew to exactly what I wanted.  All they could do was give excuses and make promises they would not keep.  ",2.0,22,0,1,1
Another delivery that said it was posted through door but never arrived typical Amazon just interested in dropping things off not interested if its the right address 😡😡😡,2.0,24,0,1,1
"Amazon is also scamming me out of a $100 gift card that my nephew purchase for me for X-mas. It came in a little Santa ornament--gift card was intact, but upon peeling off the sticker on the back to reveal the redemption code to put it onto my amazon account, the middle section of the redemption code was blurred and unreadable. Started by chatting with CS then it was escalated to ""the escalation dept"" who had me send photo of front and back of card and was going to ""take care of this right away"". That was a week ago--no response or resolution despite more phone calls--responding to their e-mail and chats. I have filed a fraud complaint with the Atty General office and BBB. If anyone has other places I can go and leave negative reviews about Amazon and their ""gift cards"" let me know. I'm a senior citizen and was hoping to purchase some things I needed.",1.0,1472,1,0,0
Review text not found,5.0,280,1,0,0
Review text not found,3.0,554,1,0,0
I maintain a 70% return rate for things I get. Always shoddy or defective or counterfeit. Exhausting to deal with.,1.0,892,1,0,0
"Amazon Prime member for many years.  Getting very disillusioned with Prime delivery/promised delivery dates. Prime promises same day, next day, two day delivery depending upon the product you order.  1) I expect delay of specific or some products due to COVID-19; and, 2) I understand not all products can be delivered in a day.  However, it's now October and I would expect Amazon to have worked-out the majority of promised delivery vs. actual delivery issues, regardless of whether it is an Amazon issue or Prime vendor issue.  Of the orders I have placed over the past 2-3 months, 80%+ have arrived later -- sometimes MUCH later -- than the delivery date stated/selected when I order.  In general, it is an inconvenience.  In principle, Amazon is not fulfilling the terms of their PAID Prime Service.  I would much rather order a product and get an HONEST, REALISTIC delivery date than continue to get notifications that the product I've ordered is delayed.  In some cases, I would not use Amazon if I knew that my order would not arrive for as much as a week to 10 days after the original delivery date.  Prime is a paid Service, with specific consumer promises.  Amazon needs to fulfill these promises or change them.  In all fairness, prior to COVID-19 the percentages of late packages was probably reversed (20% late/80% on time).  COVID is a challenge for everyone, and Amazon needs to step up to the plate to adjust their business practices to it.Side note:  First tried to review/leave feedback on the Amazon site but I'm ineligible to review Prime Service there.  Go figure...",3.0,1110,0,0,0
"Is the worst customer service.I talk to a person on the online chat and explain that my phone is no longer active. They asked me to called, then I called the customer service i will receive email to be able to closed the account. I received the email then it’s only giving me instructions and a link which sending OTP code to my old phone number which I reply twice my phone number no longer active and they keep sending the exact same email 3 times giving instructions to login. What a waste of time to talk to them, was my money calling internationally and waste my time.",1.0,545,1,0,0
The quality of the gloves is good.,4.0,5,0,1,1
The prime items are late all the times. I have two accounts and a  business account spend over 20k a year. Every time I order something it gets delayed. I ordered a pool for a kids party that was suppose to be here today 07/27/20 for a party on Wednesday 7/29/20 I get a notification that the package is going to be delayed for five days because the carrier hasn’t picked it up in Robbinsville NJ. I call Amazon the customer service tell me that now it’s going to be shipped to Longhorn Pa and then brought back to Nj and delivered. I live in NJ 45 minute from Robbinsville. Just made up stories. I think I’m getting tired of this crap. I wish I could speak to a VP that really cares. Lou B,1.0,700,1,0,0
"Doesn’t let you remove next day delivery on certain items, find this annoying",3.0,1722,1,0,0
"Love amazon.com, No issues so far and i truly amazed with the range of products. Keep up the good work",4.0,720,1,0,0
"Amazon UK is another love-them-or-hate-them company. For me, they've always quickly resolved issues with products sold by them. The returns policy is easy to complete. The third party sellers may take longer but they too, in the main, tend to deal with matters sensibly. It helps to provide photographs.The review system is a good way to voice any praise and complaints and helps the future customer to judge for themselves, though I suspect many of the gushing reviews are false positives.I find the emails which provide updates of purchase, delivery, and the tracking particularly useful.The only problems I've had were with sellers from abroad and that's usually due to transport delays/lost in post or wrong product information. They seem to have a stock photo which can misrepresent the actual item. Their couriers have mostly all been pleasant. I've heard about the pressure they're under to deliver within a certain time and have tried to offer tips, none of which have been accepted!P.S. I'd forgotten about the packaging. Sometimes they go overboard with huge boxes and swathes of horrid paper for small items and other times, squash expensive items together with 'air bags' that have burst by the time they've reached you because the outer box has been squished. Once, the Amazon sealing tape wasn't stuck on properly which was surprising as it's normally impossible to pry off. So, minus a star.",4.0,2,0,1,1
"Since the corona virus I been doing a lot of online ordering ., every time I order something from amazon amazon driver leave my package on my front porch why not knock on my door to inform me y’all are here with my package. Amazon don’t care about their customers.",1.0,444,1,0,0
I bought a RV exhaust fit cover canceled it same day because it was the wrong one I've been told two times it's going to be there back in my account the $14.05 in 3 to 5 days called back after 3 to 5 days told the same thing now I called back I'm told that it was never charged even though I'm showing it right here on my bank account has charged and was told twice it was coming back..... Amazon just effectively stole my money! They've gone to trash company! ,1.0,26,0,1,1
"They stole $ 105 from me, they gave me some cards and since I didn't buy them with my personal card, they blocked my account and eliminated it after two days. Nobody answered me, nobody helped me, they just closed the account and that's it. In my life I want to know about amazon",1.0,923,1,0,0
"I've been customer for 20 years, and I'm PRIME.  I ordered a Fresh delivery yesterday 10pm-midnight, and then was told it would be delayed. Not until 12:45 am did I get the email that had been sent at about 11:15pm: We cancelled the order. No driver.  Had to redo the whole order this morning, and scheduled for 4-6pm.  At 6:33pm I get yet again. ""Problem and we had to cancel your order.""  And then customer service claims they can't get the reason why and can't have anyone call me about WHEN I can get an order processed.  They want me just to try again or wait 3 days and try again.",2.0,309,1,0,0
Amazon is getting more and more expensive I'm starting to find stuff locally and almost half price used to order a lot from Amazon but lately local has been cheaper,3.0,1564,1,0,0
VERY HAPPY WITH ALL SERVICES  FROM AMAZON,5.0,134,1,0,0
"I have always enjoyed Amazon, until recently it appears they are falsely advertising coupons! I am also frustrated that I needed a product by Thursday and it showed that if I ordered in 14 hours and so many minutes later that I would get my product by Thursday, to then order it 9 hours later and be told I can get it in Friday. What is that about? I have ultimately paid an additional $10 to receive my items one day late, thank you for the transparency Amazon!",1.0,28,0,1,1
Amazon shopping India is becoming expensive than market now a days plus they don't verify the sellers or product just post the digital pictures taken but it's not worth buying from Amazon coz of the price and quality and scams it's better to purchase in the market like before or go out to a shop and buy atleast we can bargain and get the product in Amazon the same product is thrice the cost now a days guys go out for shopping it's wonderful experience but sitting and shopping from home through Amazon is not worth and expensive too,1.0,293,1,0,0
"why is something so easy yet so hard for amazon delivery drivers , literally leave parcels outside for anyone to take ,some parcels torn and boxes ripped in places , god knows how many times the parcels are thrown around in the van , what is going on , they are as good as useless , wrong address delivered , photos of random houses where the parcels are left 🤔 no thanks i'll shop elsewhere 💩",1.0,285,1,0,0
"Perhaps Amazon.com was a great company in the past, but I learned the hard way that my recent horrible experience with them was far from an isolated incident, as I have seen numerous other 1 star reviews for them lately. Everything that could go wrong....did go wrong. Took hours to sign up again, even though I was supposed to already be a member. They blatantly lied about the laptop I ordered. Said it had 4.0Ghz when it actually had 1.8. Screwed up my shipment numerous times and still tried to ship the order long after I cancelled it. Their customer service people were very rude in a matter of fact sort of way...as if their jobs were secure no  matter how bad they treat the customer. Big THUMBS DOWN TO THIS ROTTEN COMPANY!",1.0,597,1,0,0
I bought a Michael Kors belt and it was great and Amazon. You are the best way to shop if you’re looking for any Soundsystem products for your vehicle or even your motorcycle. Thank you Amazon this is Ricobutts. Have a good and blessed day.,5.0,954,1,0,0
"Ordered a product on 23rd January which I was told got ""stuck"" in final shipping and was advised to cancel and re order. Re ordered on the 2nd of February and still no shipment 3 days later. Contacted customer service who assured me they bumped up shipping. 7th of February still not shipped so I contact customer service again who assure me my item will be delivered between the 12 - 16 February. Now I receive an email to say item gone out of stock. Nothing but lies. Never again. Avoid at all costs.",1.0,1358,1,0,0
Amazon is TERRIBLE. In a month I have gotten charged 12.99$ TWICE for the bill even though it was already paid then I got charged almost 16.00$ for audible even thought I’ve NEVER used it before. I only bought 1 thing from them and it was only 3$ and they have continued to take my money and NOT FIXING IT. I have contacted them and they said they would pay me for one 12.99 that they took but it’s been a week and I still don’t have it. Total bull.,1.0,1073,1,0,0
"I placed an order for a dress. Upon receiving it,  I discovered I received a completely different item than what I ordered. I then spoke to an associate who said it could not be exchanged but I could place a new order with express shipping. Then the price difference of express shipping and sale (the item was on sale when I bought it) would also be refunded. Logical since this was not my fault nor responsibility. I made a copy of the chat where they promised this. After multiple weeks and I think 7 times contacting them about this whole order, I still haven’t received the price difference back!! Multiple things went wrong with the order and I contacted them three times about not receiving the price difference back. Two of the three times the associate again promised the refund was being processed and I should receive it within 3-5 days. Now today another associate (Asad) said they can only offer store credit!!!! So first of all: three associates promised a refund in money of the price difference. Where the first even emphasized to use express shipping since the whole thing was not my fault. 2. The mistake of receiving a completely different item should not affect the customer anymore than it already has 3. The amazon associates are completely incompetent since they cannot even read the chats properly and you have to explain the situation again and again4. I expect my money back and not some store credit which I dont use, especially not now. It’s common sense that when a store (independent sellers or not) makes a mistake, they fix it and the customer should not have to suffer or pay extra for it. Moreover, the response of the last associate was absolutely ridiculous.Be warned if you order at Amazon!",1.0,1718,1,0,0
"I usually love Amazon, which I still do, but I have to give a 1 star for the fact that they locked me out of my account for no reason. Not only is my order not coming, I also have to wait days before they will supposedly be calling me back to unlock my account. Its ridiculous that this happened in the first place only because I added a new payment card.. like what?? Am I not allowed to use my debit card now? Geez. Get a better security system and maybe do what the banks do and send a security message asking if it was authorized instead of just locking people out for nothing.",1.0,176,0,0,0
"So I placed an order of 7 items, from different stores on amazon for 295 pound, they took my money. They have canceled 5 of the items that were displayed as in stock, saying the stores had made an inventory mistake and that they were not in stock, thats 5 different items from 5 different stores, and your telling me each store made exactly the same mistake??? I still have not received my 232 pound refund for them items, and its so close to Christmas and with strikes amd how expensive everything is costing I am fuming tbh. I won't order from amazon again unless its for something that I don't need urgently, oh and all the items I purchased are still on amazon saying in stock!!!!!! Not happy",1.0,295,0,0,0
"Ive Used Amazon Several Times, Every Order Ive Ever Placed There Were Issues. I Do Give Them Credit For Refunding Me After Delivering One Item To Wrong Address. Several Orders Never Received, One Order Weeks Late, ALL ORDERED PRIME! What Does That Tell You, There Business Model Is A Complete Lie! Don't Write Checks Your Ass Can't Cash Amazon! The Business Has So Much Potential too, What A Shame!EDITED: So the moral of the story here is simple. Don't Lie! I just don't like being lied to! You can have the best product in the world, though if you lie about it's or the businesses potential, delivery time, expectations, it's a game buster!I also want to stress that Amazon customer service has always been a pleasure to deal with. They have also always made good on any inconveniences. Just the BS that totally kills the experience, Ill stick to local businesses, even if it does mean paying more.",2.0,1978,1,0,0
"Haven't been happy with Amazon the past few months. Everytime I reach out about a complaint towards a driver and hoping I don't have to deal with anymore ignorant ones not following delivery instructions, I deal with another one. Dealt with one today. I reached out and complained about them, agent apologized twice and said they'd take care of it and also escalated the situation so it won't happen again. Was it really escalated and taken care of though? I've dealt with it before and complained and I was told the same thing. I can't stand when anyone but myself and my boyfriend walk or try to walk between my vehicles. That's ignorant. There is no reason for it especially where my front door is they can just walk through grass. I'm tired of reaching out about this. Always seems to be random drivers that haven't been here before too. But I have it listed on my account for drivers not to walk between my vehicles at all. Wish people would have commen sense and respect but clearly lots of people out there lack both. I will stop ordering from Amazon for as long as I live here if I'm going to continue to get ignorant drivers. Also every driver reported no matter what company they work for, should be punished in some way and not be able to deliver at the house that complained about them anymore. I also have had issues with rude/unhelpful agents many times.I also don't like how you have to have a credit card to do try before you buy. A debit card should be just fine! I also like the Amazon payment plans, I've used it for 3 or 4 items, but now I no longer see payments available when I browse and don't understand why. If they were available to me before, they should always be available to me. I paid off everything on time to.",1.0,496,1,0,0
"Package marked delivered, it wasn’t! Called and rep stated “independent contractors” where hired for holiday rush. Some “independent contractors” have been stating delivered and yet the package is either not delivered or the driver steals. Wrote a letter and sent photos of a temp driver delivering package only to return, hop gate, and take back the package! Amazon rep(s) say oh well it’s marked as delivered! So now I’m out of pocket and out of item’s purchased. Received email reading “sometimes these things happen.” Either refund the money or replace items! Simple!! Yet amazon customer service, if we can communicate properly because it’s outsourced, will do absolutely nothing. Shame on you Jeff Bezos, shame on you amazon!!",1.0,25,0,1,1
"Amazon deserves ""0"" stars,  they make you think everything is cheaper there, WRONG!,  they are no the cheapest, trust me. it is bully company that have destroyed so many great bussiness.  As soon as I made my first purchase (which I deeply regret) my credit card info was stolen, and Amazon admitted someone open an account using my name and credit info and Amazon CS could not care less.  Never again! DO NOT BUY from them.",1.0,155,1,0,0
"We didn’t receive the products  not the first time and then when we contacted the customer service , Amazon want me to file police report to be able to contact them again and get my refund , what a bull story , never give a tracking code to trace my items and then they will just say it has been delivered , but no product has been arrived",1.0,1131,1,0,0
